,S,I,R,M
267,15940675.24089928,2.5267507384164603,192483560.53638384,1575761.695974231
268,15940675.184492921,2.3168168506151323,192483560.80052564,1575761.6981369136
269,15940675.132772924,2.124325220236864,192483561.04275683,1575761.7001202551
270,15940675.08534997,1.9478266656294183,192483561.26487756,1575761.7019382264
271,15940675.041866614,1.7859924097035598,192483561.46854243,1575761.7036056854
272,15940675.0019977,1.637604076178822,192483561.65522555,1575761.7051339694
273,15940674.965440331,1.501544516985313,192483561.82643852,1575761.706535878
274,15940674.931919994,1.376789401766858,192483561.98348773,1575761.7078207964
275,15940674.901185445,1.2623995061660558,192483562.1273906,1575761.7089996836
276,15940674.873003878,1.1575136408332116,192483562.25941697,1575761.7100801524
277,15940674.847163832,1.061342167925226,192483562.38037905,1575761.7110705571
