,S,I,R,M
124,16145677.432819003,756352.913280628,190578041.14995074,2519928.503983597
125,16128582.300198188,693710.7855283456,190656737.83907387,2520969.075231462
126,16112919.110283174,636241.5334662454,190728915.90268224,2521923.453599267
127,16098567.04071092,583520.4253065479,190795113.7754456,2522798.7585686953
128,16085415.602740014,535157.212177725,190855825.6603442,2523601.524765536
129,16073363.735567939,490793.391636422,190911505.12333196,2524337.749490163
130,16062318.983427322,450099.6780296871,190962568.40210593,2525012.9364681584
131,16052196.747374747,412773.66579733754,191009397.45075577,2525632.1361082876
132,16042919.60455891,378537.6724366325,191052342.740508,2526199.9825353394
133,16034416.688510088,347136.7485140247,191091725.83537006,2526720.7276469595
134,16026623.124667345,318336.84278770717,191127841.76016462,2527198.2724248385
135,16019479.515955297,291923.11118571326,191160961.17718372,2527636.1957159117
136,16012931.473749764,267698.3590590547,191191332.38654682,2528037.780681881
137,16006929.190035352,245481.60678900394,191219183.1641102,2528406.039101434
138,16001427.046982192,225106.76946826174,191244722.44989133,2528743.733695309
139,15996383.26052828,206421.4419920331,191268141.89888155,2529053.398632135
140,15991759.554898158,189285.78148488922,191289617.3052881,2529337.358360206
141,15987520.86527076,173571.4795512275,191309309.910312,2529597.7448999765
142,15983635.066084942,159160.81736933347,191327367.6028598,2529836.5137208058
143,15980072.722700836,145945.79715208514,191343926.0218655,2530055.458315739
144,15976806.864354156,133827.34397057627,191359109.56813264,2530256.2235811646
145,15973812.77652736,122714.5723814907,191373032.33303165,2530440.3180965343
146,15971067.811038263,112524.11271502594,191385798.95088917,2530609.1253948505
147,15968551.212294798,103179.49226918232,191397505.38116455,2530763.9143052776
148,15966243.958318884,94610.56701882945,191408239.6262578,2530905.8484441703
149,15964128.615252046,86752.99978576366,191418082.39007983,2531035.994923579
150,15962189.20418037,79547.78112986148,191427107.68238848,2531155.3323415304
151,15960411.079224043,72940.78951309697,191435383.37318856,2531264.758112895
152,15958780.815916004,66882.38755843155,191442971.7013704,2531365.0951945973
153,15957286.108993093,61327.05147615033,191449929.7413126,2531457.098255844
154,15955915.67879629,56233.03096208676,191456309.83094156,2531541.4593376294
155,15954659.185545146,51562.03708643248,191462159.96436095,2531618.813044636
156,15953507.150815103,47278.95589007325,191467524.15202487,2531689.741307474
157,15952450.885609627,43351.58558822142,191472442.75108844,2531754.777750846
158,15951482.424464505,39750.3954499773,191476952.76842165,2531814.4117000783
159,15950594.465077603,36448.30457809987,191481088.13852668,2531869.091856231
160,15949780.312994208,33420.478956801206,191484879.97842062,2531919.229665264
161,15949033.830921996,30644.14526762073,191488356.82144752,2531965.2024109503
162,15948349.39228836,28098.420095169415,191491544.83161587,2532007.356048601
163,15947721.838677887,25764.15325672762,191494468.00030813,2532046.0078054545
164,15947146.440827679,23623.784092788355,191497148.32656342,2532081.448564967
165,15946618.862882372,21661.209650605433,191499605.98246256,2532113.945053616
166,15946135.129631033,19861.663780120973,191501859.46479008,2532143.741846157
167,15945691.596478727,18211.606241907986,191503925.7341231,2532171.063204692
168,15945284.921923632,16698.62100057966,191505820.34235904,2532196.1147650355
169,15944912.042330261,15311.322944946005,191507557.54969794,2532219.0850833473
170,15944570.148803862,14039.272338530654,191509150.43185982,2532240.1470542713
171,15944256.665994544,12872.89636131228,191510610.97848895,2532259.4592114366
172,15943969.232665509,11803.417156170617,191511950.18331695,2532277.166919986
173,15943705.683881246,10822.785841815805,191513178.12686512,2532293.4034702587
174,15943464.034679392,9923.621998352326,191514304.05229974,2532308.291080514
175,15943242.465101574,9099.158172352325,191515336.43496758,2532321.941816413
176,15943039.306469517,8343.188985722776,191516283.04616898,2532334.458434451
177,15942853.028806588,7650.024466965653,191517151.01163313,2532345.9351549353
178,15942682.229303144,7014.447254958119,191517946.86513135,2532356.458371118
179,15942525.621743638,6431.673354283885,191518676.59766358,2532366.107299162
180,15942382.026812188,5897.316147702807,191519345.70252842,2532374.9545745444
181,15942250.363205003,5407.353395691639,191519959.21666294,2532383.0667985426
182,15942129.63948359,4958.096975347781,191520521.75856298,2532390.5050394223
183,15942018.946603414,4546.1651314456485,191521037.56303442,2532397.3252920597
184,15941917.451064294,4168.457031257853,191521510.51306528,2532403.578899541
185,15941824.38863253,3822.129432009497,191521944.1690559,2532409.312939434
