,S,I,R,M
199,15940942.1502707,926.2825381285421,189780998.1365871,4277133.430604105
200,15940921.471892137,849.3231427649506,189781094.9708022,4277134.2341629835
201,15940902.511582883,778.7578306337975,189781183.7596277,4277134.970958848
202,15940885.126595316,714.0553602437319,189781265.17150587,4277135.646538627
203,15940869.18604237,654.7286268238943,189781339.81934246,4277136.265988393
204,15940854.56991202,600.330995438468,189781408.26512095,4277136.833971652
205,15940841.16816369,550.4529387321179,189781471.02413318,4277137.3547644485
206,15940828.879899727,504.7189540010566,189781528.5688588,4277137.832287555
207,15940817.612605717,462.7847363861768,189781581.33252195,4277138.270135996
208,15940807.281453948,424.3345869119007,189781629.7123531,4277138.671606105
209,15940797.808664722,389.079035861585,189781674.07257915,4277139.039720345
210,15940789.122920766,356.7526636007727,189781714.74716565,4277139.377250061
211,15940781.158830263,327.1121024454723,189781752.042331,4277139.686736343
212,15940773.856434533,299.9342045351402,189781786.23885182,4277139.970509159
213,15940767.160756618,275.01436191938876,189781817.59417662,4277140.230704892
214,15940761.02138734,252.16496621302957,189781846.34436408,4277140.46928243
215,15940755.392105808,231.21399622450468,189781872.7058601,4277140.688037898
216,15940750.230531413,212.00372292595839,189781896.87712744,4277140.888618205
217,15940745.497804752,194.38952201639717,189781919.0401398,4277141.0725334175
218,15940741.158295065,178.2387851392269,189781939.36175162,4277141.241168146
219,15940737.17933199,163.4299215580271,189781957.99495453,4277141.395791959
220,15940733.530959584,149.85144277531367,189781975.08002874,4277141.5375689445
221,15940730.185710791,137.40112320337423,189781990.7455996,4277141.667566472
222,15940727.118400667,125.98523056873071,189782005.1096056,4277141.78676323
223,15940724.305936746,115.5178202567022,189782018.28018647,4277141.896056595
224,15940721.727145214,105.92008828384968,189782030.35649717,4277141.996269384
225,15940719.362611469,97.11977802741718,189782041.42945448,4277142.088156052
226,15940717.194533978,89.05063624554703,189782051.58242145,4277142.172408367
227,15940715.206590243,81.65191429309854,189782060.8918349,4277142.249660625
228,15940713.38381391,74.8679107781234,189782069.427781,4277142.320494425
229,15940711.712482115,68.64755221601271,189782077.25452268,4277142.385443037
230,15940710.180012142,62.94400852437415,189782084.43098393,4277142.444995429
231,15940708.774866717,57.71434046397886,189782091.0111929,4277142.499599945
232,15940707.48646713,52.91917637160938,189782097.0446888,4277142.549667673
233,15940706.305113602,48.52241575115095,189782102.57689503,4277142.595575553
234,15940705.221912261,44.49095749146088,189782107.64946097,4277142.637669201
235,15940704.228708172,40.794450664945046,189782112.30057552,4277142.676265523
236,15940703.318023955,37.40506603076173,189782116.5652548,4277142.71165509
237,15940702.48300349,34.29728652244244,189782120.47560552,4277142.744104333
238,15940701.71736028,31.447715142638092,189782124.0610669,4277142.773857548
239,15940701.015330154,28.834898818744687,189782127.34863216,4277142.801138734
240,15940700.371627845,26.439166893320518,189782130.3630519,4277142.826153278
241,15940699.781407215,24.242483033382246,189782133.12702015,4277142.849089503
242,15940699.24022477,22.22830944368874,189782135.66134563,4277142.870120083
243,15940698.744006189,20.38148236175038,189782137.985108,4277142.88940335
244,15940698.289015675,18.688097897234197,189782140.1158019,4277142.907084475
245,15940697.871827815,17.13540735631184,189782142.0694682,4277142.923296574
246,15940697.489301795,15.71172126290369,189782143.8608152,4277142.9381617
247,15940697.138557749,14.406321354245952,189782145.503329,4277142.951791763
248,15940696.816955091,13.20937988824175,189782147.0093755,4277142.96428938
249,15940696.522072623,12.1118856551033,189782148.39029294,4277142.97574864
250,15940696.251690308,11.10557613626503,189782149.65647763,4277142.986255813
251,15940696.003772568,10.182875299826888,189782150.81746203,4277142.995890004
252,15940695.77645295,9.33683656422141,189782151.8819866,4277143.004723744
253,15940695.568020059,8.561090500706793,189782152.85806572,4277143.012823537
254,15940695.376904706,7.849796880964284,189782153.75304785,4277143.020250362
255,15940695.20166807,7.197600708790246,189782154.5736709,4277143.027060135
256,15940695.040990882,6.599591904867306,189782155.3261129,4277143.03330412
257,15940694.89366347,6.051268341101145,189782156.01603863,4277143.039029329
258,15940694.758576678,5.548501946226665,189782156.64864227,4277143.044278861
259,15940694.634713503,5.087507627509208,189782157.22868636,4277143.049092237
260,15940694.52114143,4.664814774567508,189782157.76053783,4277143.053505697
261,15940694.417005435,4.277241130784516,189782158.2482007,4277143.057552468
262,15940694.321521522,3.921868835596579,189782158.69534636,4277143.061263014
263,15940694.233970841,3.5960224572949913,189782159.1053411,4277143.064665271
264,15940694.153694265,3.29724885095943,189782159.48127168,4277143.067784855
265,15940694.080087421,3.023298689883351,189782159.8259683,4277143.0706452485
266,15940694.012596166,2.772109531450303,189782160.142026,4277143.073267989
267,15940693.950712387,2.541790289972241,189782160.43182424,4277143.075672821
268,15940693.893970186,2.330606999593258,189782160.6975447,4277143.0778778475
269,15940693.841942381,2.136969760074418,189782160.9411879,4277143.0798996715
270,15940693.794237278,1.959420767180724,189782161.1645881,4277143.081753513
271,15940693.75049573,1.7966233375566816,189782161.36942723,4277143.083453329
272,15940693.710388424,1.6473518454639642,189782161.55724743,4277143.085011915
273,15940693.673613414,1.5104824956196399,189782161.7294627,4277143.086441008
274,15940693.639893834,1.3849848626680297,189782161.88736957,4277143.087751367
275,15940693.60897583,1.2699141335908775,189782162.03215685,4277143.088952855
276,15940693.58062663,1.1644039946526044,189782162.16491452,4277143.090054518
277,15940693.554632807,1.067660109329816,189782162.28664207,4277143.091064649
